,Well,Sample,Call,Type,RFU1,RFU2
,C03,,Heterozygote,Auto,2931.36322123018,2446.15434460096
,C04,,Heterozygote,Auto,2848.03576834704,2474.36871189101
,C05,,Heterozygote,Auto,2734.58175509557,2422.68938597225
,C07,,Heterozygote,Auto,2925.67605726438,2559.09664125466
,C08,,Heterozygote,Auto,2852.86896592997,2466.01005192506
,C09,,Heterozygote,Auto,2815.54574473641,2479.95532110944
,D03,,Heterozygote,Auto,2833.05849011011,2481.68031423164
,D04,,Heterozygote,Auto,3050.57745312864,2529.06506817638
,D05,,Heterozygote,Auto,2882.37879981398,2523.21588231182
,D07,,Heterozygote,Auto,2889.6996748766,2492.73333138887
,D08,,Heterozygote,Auto,3085.24217218991,2513.39384393552
,D09,,Heterozygote,Auto,2929.18990170232,2534.71609245859
,E03,,Heterozygote,Auto,2920.00329149292,2473.43629223961
,E04,,Heterozygote,Auto,3113.18782167239,2435.46470979829
,E05,,Heterozygote,Auto,3209.65852208407,2528.81726158816
,E07,,Heterozygote,Auto,3138.62958421513,2553.57112689299
,E08,,Heterozygote,Auto,3229.78752778941,2467.26276714374
,E09,,Heterozygote,Auto,2824.11665801192,2463.45374813151
,F03,,Heterozygote,Auto,2981.01204058146,2512.29920511662
,F04,,Heterozygote,Auto,2957.27853111966,2472.45518928424
,F05,,Heterozygote,Auto,3031.64700468117,2475.74618014443
,F07,,Heterozygote,Auto,3081.95701917778,2567.10974875972
,F08,,Heterozygote,Auto,3038.38160756427,2503.85107834791
,F09,,Heterozygote,Auto,2994.56951659513,2453.05609182868
